Baby Boy Names Registered in 2001                       A,
1,Koupland
1,Kourin
1,Kourosh
1,Krishneel
13,Kristian
1,Kristofer
1,Kristoffer
7,Kristopher
1,Krystian
1,Krystoff
1,Krystopher
1,Kullin
1,Kulveer
1,Kuoth
6,Kurt
7,Kurtis
1,Kuryn
1,Kwayd
1,Ky
1,Kyan
1,Kyatt
4,Kye
1,Kyein
1,Kyell
1,Kyiiyo
1,Kylayne
130,Kyle
2,Kylen
11,Kyler
2,Kynan
1,Kyre
#,Boy  Names 
1,Kyren
1,Kyrus
1,Kyrzst of
1,Kyver
1,Kyzer
1,Kyzic
8,Lachlan
1,Lain
3,Laine
1,Laird
2,Laith
1,Lake
1,Lakota-Ray
1,Lali
1,Lamar
1,Lammy
1,Lan
3,Lance
1,Lancelot
1,Landen
1,Landis
19,Landon
1,Landyn
19,Lane
1,Langdon
1,Langton
2,Laramie
1,Larenz
5,Larry
6,Lars
1,Larsen
1,Latherus
1,Latrel
2,Latrell
1,Laurence
1,Laurentius
1,Lauriel
1,Laween
1,Lawrence
2,Lawson
1,Layden
1,Layn
9,Layne
4,Layton
2,Lazarus
1,Le
1,Leagan
1,Leam
1,Leandro
1,Lebo
3,Lee
1,Leiam
2,Leif
2,Leigh
#,Boy  Names 
1,Leim
1,Lemmy
1,Lenard
1,Lendenn
1,Lennox
9,Leo
2,Leon
3,Leonard
3,Leonardo
1,Léonidas
1,Leroy
3,Lester
1,Lethan
1,Leuven
55,Levi
1,Leví
1,Levi-Dale
1,Levy
1,Levyn
1,Lewend
4,Lewis
1,Lezane
168,Liam
1,Liep
1,Life
9,Lincoln
1,Linus
1,Livtar
1,Llewis
1,Lliam
2,Lloyd
1,Locheland
2,Lochlan
1,Lodie
1,Loel
1,Loewen
177,Logan
1,Logun
1,Lonan
1,London
1,Longda
2,Lorenz
4,Lorenzo
1,Louie
7,Louis
1,Lourik
2,Lovedeep
1,Lovre
1,Luan
1,Lubbertus
3,Luc
5,Luca
86,Lucas
1,Lucias
#,Boy  Names 
1,Luckis
1,Lucky
1,Lucus
2,Luigi
3,Luis
1,Luis-Antonio
4,Luka
21,Lukas
1,Lukash
68,Luke
1,Lukian
1,Lukiss
1,Lukus
1,Lunden
1,Luukas
1,Luvraj
1,Lyam
2,Lyle
5,Lynden
1,Lyndin
5,Lyndon
1,Lynele
1,Maahir
1,Maar
1,Maaz
1,MacCoy
3,MacGregor
1,Macgregor
1,Machar
1,Macintosh
1,MacIntyre
1,Mack
19,Mackenzie
5,MacKenzie
1,Mackenzy
1,Mackinley
1,Maclain
1,Maclean
1,Macyn
1,Maddux
1,Maden
1,Madhav
1,Madis
2,Madison
1,Madut
1,Maël
1,Magiir
1,Magnus
1,Maguire
1,Mahaz
1,Mahdi
1,Maher
1,Mahikpreet
1,Mahlon
#,Boy  Names 
1,Mahmood
3,Mahmoud
1,Mahnuv
3,Maison
1,Majid
1,Majur
1,Makae
1,Makai
1,Makenzie
1,Makhy
1,Makore
1,Maksim
2,Malachi
1,Malakhi
8,Malcolm
1,Malcom
1,Maleki
1,Malik
1,Malirue
1,Malkalm
1,Malyk
1,Manbinder
1,Manbir
2,Manjot
1,Manny
2,Manraj
1,Manroop
1,Mansfield
1,Manvir
1,Manzil
14,Marc
2,Marcel
1,Marcell
1,Marcelle
1,Marcellus
1,Marcelo
9,Marco
50,Marcus
1,Mardi
1,Marino
2,Mario
1,Marion
44,Mark
1,Markell
1,Marki
1,Markian
4,Marko
1,Mark-Olivier
5,Markus
1,Marley
1,Marlow
1,Marouf
1,Marquell
1,Marshal
#,Boy  Names 
14,Marshall
1,Mart
1,Marten
13,Martin
1,Maru
2,Marvin
1,Marwan
1,Maryk
1,Masan
2,Masen
81,Mason
1,Mataen
8,Mateo
1,Mateus
1,Matheson
1,Matheus
36,Mathew
6,Mathias
8,Mathieu
2,Matias
1,Matías
2,Matisse
1,Matrick
3,Matt
12,Matteo
1,Matthais
277,Matthew
6,Matthias
3,Matthieu
4,Mattias
1,Mattieu
1,Matty
1,Matush
1,Maurice
1,Mauricio
1,Maven
2,Maverick
20,Max
1,Maxamillion
1,Maxem
11,Maxim
2,Maxime
7,Maximilian
1,Maximiliano
1,Maximillian
1,Maximo
7,Maximus
1,Maxmilian
1,Maxmillian
1,Maxon
1,Maxtin
1,Maxton
32,Maxwell
1,Mayen
#,Boy  Names 
1,Mayson
1,Mazen
1,Mazin
1,M'Basi
1,McCoy
1,McDad
1,Mckail
3,McKenzie
1,McKinnon
1,Medi
1,Mehtaab
1,Mekhi
1,Mekian
1,Melfert
3,Melvin
2,Memphis
1,Mercedes
1,Merek
1,Mereno
1,Merick
1,Merle
4,Merrick
1,Mervin
1,Metro
1,Mexx
9,Micah
1,Micaiah
157,Michael
1,Michal
24,Micheal
1,Mickael
1,Mickal
1,Mickial
1,Micky
6,Miguel
2,Mika
1,Mikael
1,Mikail
2,Mike
2,Mikeal
1,Mikealo
1,Mikhail
1,Mikias
1,Mikki
1,Miklo
1,Mikulas
3,Milan
7,Miles
1,Miljan
1,Miller
2,Milos
1,Ming-Jie
1,Minh
1,Mipham
#,Boy  Names 
1,Miranden
1,Mircea
1,Miró
1,Miroslav
1,Mitchael
5,Mitchel
56,Mitchell
1,Mitchie
1,Moaaz
1,Mo'ad
1,Moamelle
1,Moayed
1,Modeste
5,Mohamad
14,Mohamed
5,Mohammad
1,Mohammd
17,Mohammed
1,Mohamud
1,Mohick
1,Mohummad
1,Momin
1,Monder
2,Montana
1,Monte
1,Morayo
1,Morcos
32,Morgan
1,Morgen
1,Morphuis
1,Moses
1,Mou
1,Mouhamad
1,Moustfa
1,Mozes
3,Muhammad
1,Muhammed
1,Muhammet
1,Mujahid
1,Mukendi
1,Multizem
1,Muriaz
1,Murray
1,Murtaaz
1,Musa
1,Mushtaba
1,Mustaba
4,Mustafa
1,Mustapha
1,Myguel
1,Mykosha
14,Myles
1,Myron
1,Naaman
#,Boy  Names 
1,Nabeel
1,Nadeem
1,Nader
1,Naethan
1,Nahkoma
1,Nahum
1,Naiel
1,Naithen
1,Naji
1,Najim
1,Nakoda
1,Nalesh
1,Naman
1,NaNa
1,Naphtali
4,Nash
1,Nashten
3,Natan
2,Nate
146,Nathan
4,Nathanael
1,Nathaneal
1,Nathaneil
1,Nathanel
5,Nathanial
38,Nathaniel
1,Nathanyal
7,Nathen
1,Nathon
1,Navdip
1,Navid
1,Navjit
2,Navkaran
1,Navneet
1,Navneil
1,Navshan
1,Nazeh
1,Nealon
1,Neely
7,Neil
1,Nelson
1,Neo
1,Neshko
1,Nestor
1,Nethan
2,Nevada
1,Nevan
1,Newo-Iyiniw
1,Ngoc
1,Niall
1,Niccolas
205,Nicholas
1,Nicholaus
1,Nicholli
#,Boy  Names 
5,Nick
2,Nicklas
1,Nicklaus
1,Nicko
12,Nickolas
1,Nicky
1,Nicodemous
1,Nicola
1,Nicolaas
2,Nicolai
36,Nicolas
1,Niel
5,Nigel
1,Nigosis
2,Nikhil
1,Nikita
1,Nikko-Johan
1,Nikkolas
1,Niklas-Jack
1,Niko
2,Nikola
2,Nikolai
17,Nikolas
1,Nikolaus
1,Nimesh
2,Nimrat
1,Niraj
1,Nissim
1,Nitish
1,Nixon
1,Nizar
135,Noah
1,Noble
6,Noel
53,Nolan
2,Nole
1,Nolen
2,Nolin
1,Noneel
1,Noor
7,Norman
1,Nour-Edean
1,Novada
1,Nubal
1,Nuer
1,Nydell
1,Obehi
1,Obiedah
1,Ocean
1,Ogooluwakunmi
1,Okal
1,Olfatullah
13,Oliver
2,Olivier
#,Boy  Names 
1,Olyn
14,Omar
1,Omarr
2,Omer
1,Omey
1,Onkar
1,Opemipo
1,Orazio
1,Orest
1,Orin
2,Orion
1,Orrin
6,Oscar
1,Oshea
1,Oshé-Mustafa
1,Oskar
1,Osman
1,Osmond
2,Ossama
1,Otis
1,Owain
1,Oways
68,Owen
1,Oz
1,Ozze
1,Ozzy
1,Pabjit
1,Pacean
3,Pacey
1,Paceyn
1,Paden
1,Palmer
1,Paolo
2,Paras
1,Parbir
1,Paris
1,Park
63,Parker
1,Parks
1,Parmandeep
2,Parmveer
1,Parmvir
1,Partap
2,Parteek
1,Parth
3,Pascal
1,Patric
42,Patrick
1,Patryc-Khang
1,Patryk
24,Paul
1,Paval
1,Pawanjot
1,Pawel
#,Boy  Names 
3,Paxton
1,Payden
1,Payne
1,Payson
13,Payton
1,Pearse
2,Pedro
1,Peirce
1,Pelvain
1,Peregrine
2,Perry
33,Peter
1,Peterson
7,Peyton
1,Pheonix
2,Phi
12,Philip
10,Phillip
7,Phoenix
5,Pierce
1,Piercen
3,Pierre
1,Pierson
2,Pieter
1,Pieter-Hendrik
1,Piran
1,Piyesis
1,Prabhjot
1,Prabhnoor
1,Prabhvir
1,Pravdeep
1,Preet
16,Preston
1,Prince
1,Prithvi
1,Pritpal
1,Psalm
1,Pukhraj
1,Puneet
1,Qasim
1,Qasimali
1,Q'ielon
2,Quade
6,Quaid
1,Quanah
1,Quenten
4,Quentin
1,Quincey
3,Quincy
30,Quinn
1,Quinncy
1,Quintan
4,Quinten
9,Quinton
#,Boy  Names 
2,Quoc
1,Quynton
1,Rabei
1,Rache
1,Radik
1,Radwan
1,Rae
1,Raedyn
2,Raegan
2,Rafael
1,Rafid
1,Rahall
1,Raheem
1,Rahim
5,Rahul
1,Raian
4,Raiden
1,Raider
1,Raigen
3,Raine
1,Rainne
1,Raistlin
2,Rajan
1,Rajandeep
1,Rajen
1,Rajman
1,Rajpreet
1,Rajun
1,Rajveer
1,Rajvir
1,Rakib
1,Ralph
1,Ramandeep
1,Ramanjit
3,Rami
1,Ramnel
1,Ramon
1,Ramone
1,Ramsey
1,Ramy
1,Rand
1,Randal
2,Randall
1,Randel
1,Randle
2,Randolph
6,Randy
1,Rani
1,Ranvir
1,Raouf-Khaled
2,Raphael
1,Raquel
1,Rasean
1,Rashaun
#,Boy  Names 
1,Rassal
1,Ratik
3,Raven
1,Ravikash
1,Ravneat
1,Ravtej
1,Rawad
1,Rawand
1,Rawlie
1,Ray
1,Rayal
1,Rayan
4,Rayden
1,Raye
1,Rayelin
1,Raymark
1,Raymon
15,Raymond
1,Raymonn
4,Rayne
1,Raynold
1,Rayth
1,Razi
1,Raziq
1,Reace
1,Reade
1,Reagan
1,Rèal
1,Redar
26,Reece
3,Reed
3,Reegan
2,Rees
15,Reese
3,Regan
1,Reginald
24,Reid
1,Reiley
3,Reilly
1,Reily
1,Reimar
1,Reino
1,Reis
1,Rem
1,Remington
1,Remmy
2,Remy
1,Renal
1,René
1,Renier
1,Renner
1,Rennie
1,Reno
1,Renzo
#,Boy  Names 
1,Reo
5,Reuben
1,Rewan
2,Rex
1,Reynaldo
1,Reynel
1,Rhet
9,Rhett
1,Rhonan
1,Rhyan
1,Rhye
7,Rhys
2,Rhyse
1,Rhyum
1,Riann
2,Ricardo
27,Richard
2,Richmond
1,Rick
3,Ricky
1,Ricky-Lee
1,Rico
1,Rida
1,Rider
3,Ridge
2,Ridley
1,Ridwan
1,Riel
134,Riley
1,Rilind
1,Rinesh
2,Rio
1,Rishab
1,Rishawn
1,Rishi
1,Rishveer
1,Ritik
4,River
1,Rixon
3,Roan
1,Roarke
1,Robbee
63,Robert
1,Roberto
5,Robin
1,Robinpal
1,Robson
2,Rocco
1,Roccwell
2,Rocky
4,Rodney
4,Rodolfo
1,Rodrigo
1,Roen
#,Boy  Names 
2,Rogan
3,Roger
2,Rohan
1,Rohdell
1,Rohin
4,Rohit
1,Roland
1,Rolando
1,Rolland
1,Rollie
5,Roman
1,Romel
3,Romeo
1,Romie
1,Ron
5,Ronald
6,Ronan
1,Ronel
1,Ronelle
1,Ronesh
1,Ronik
1,Ronin
1,Ronnie
1,Ronny
1,Ronson
2,Rori
1,Rorie
6,Rory
1,Roseveer
1,Rosh
1,Roshaan
1,Roshan
7,Ross
1,Rousseau
8,Rowan
1,Rowen
1,Rownin
3,Roy
1,Royal
2,Royce
1,Ruay
3,Ruben
3,Rudy
1,Rueben
1,Russel
8,Russell
206,Ryan
2,Ryden
9,Ryder
1,Rydice
1,Rye
1,Ryen
5,Ryker
28,Rylan
#,Boy  Names 
6,Ryland
2,Ryle
5,Rylee
4,Rylen
1,Rylend
35,Ryley
4,Rylie
1,Rylin
1,Rylun
1,Rynal
2,Ryne
1,Ryo
1,Ryzelle
1,Saab
2,Saad
1,Saa'd
5,Sabastian
1,Sacha
1,Sachdev
1,Sachman
1,Saddler
1,Sadek
1,Sadeq
1,Sadiq
1,Saef
1,Safford
1,Safwan
1,Sagan
5,Sage
1,Sagen
1,Sahail
7,Sahil
1,Sai
1,Said
1,Saif
1,Saleem
1,Salem
1,Salo
1,Salton
1,Salvatore
10,Sam
1,Samdeesh
1,Sameel
3,Sameer
1,Sameh
1,Samer
1,Samih
1,Samin
3,Samir
1,Sampson
4,Samson
2,Samual
127,Samuel
1,Samuel-Talon-Rope
#,Boy  Names 
1,Samwise
1,Sanchez
1,Sandon
1,Sanmeet
1,Santino
1,Sarmad
1,Sartaj
1,Sartoris
5,Sasha
1,Satchel
1,Sato
1,Satyen
1,Savastin
1,Savaughn
1,Saverio
1,Savin
4,Sawyer
1,Saxon
1,Sayder
1,Scot
45,Scott
4,Seamus
56,Sean
1,Sean-Claude
1,Sebastain
41,Sebastian
5,Sebastien
2,Sébastien
1,Sebbe
1,Seconder
1,Sehej
1,Seiren
1,Selwyn
1,Sequoia
1,Sergey
1,Sergio
79,Seth
1,Sethan
1,Seth-Lee
1,Seve
1,Severin
1,Sevryn
1,Shaan
1,Shaanvir
1,Shaban
1,Shade
2,Shaden
1,Shadi
2,Shae
1,Shahmeer
1,Shaian
1,Shailendra
1,Shaine
1,Shakeel
#,Boy  Names 
1,Shakur
1,Shamar
1,Shan
1,Shandin
25,Shane
1,Shanley
1,Shannon
1,Shantzton
1,Sharaaheel
1,Sharawi
1,Shariif
1,Sharjeel
1,Sharnvir
1,Sharokh
1,Shashank
1,Shatan
10,Shaun
1,Shaw
20,Shawn
4,Shay
1,Shayan
1,Shayde
5,Shayden
1,Shaydon
3,Shaye
1,Shaylen
4,Shayne
1,Shaynne
1,Shazeb
1,Shea
1,Shehzaad
1,Shehzad
4,Shelby
16,Sheldon
1,Shemor
1,Shen
1,Sherjeel
1,Sherwin
1,Shino
1,Shiv
1,Shiva
1,Shivansh
1,Shivneet
1,Shivneil
1,Shiwan
1,Shiwon
1,Shoma
1,Shreddan
1,Shrey
1,Shunya
1,Sidharth
2,Sidney
1,Sigmund
8,Silas
#,Boy  Names 
1,Silver
1,Silverado
2,Silvio
1,Simeon
34,Simon
1,Simran
1,Simranjot
1,Simson
1,Sine
3,Singh
1,Sion
1,Sixten
1,Skjel
1,Sky
2,Skye
12,Skylar
12,Skyler
1,Skylore
1,Slade
1,Sleiman
2,Sloan
2,Sohaib
1,Sohrab
1,Solen
4,Solomon
1,Solon
1,Soon-Won
4,Soren
80,Spencer
1,Spencer-Hayward
1,Srdjan
7,Stanley
1,Stanly
1,Statten
1,Stavon
1,Steadman
2,Steele
8,Stefan
1,Stefano
1,Sten
3,Stephan
2,Stephane
20,Stephen
1,Sterling
1,Sterlyng
4,Steve
55,Steven
1,Steven-Kirk
1,Stewart
1,Stone
1,Stoney
4,Storm
1,Strachan
3,Stran
#,Boy  Names 
7,Stuart
1,Sufyan
1,Sujeev
1,Sukhdip
2,Sukhman
1,Sukhmohat
2,Sukhpal
3,Sukhraj
1,Sukhvinder
1,Suleiman
1,Suleyman
3,Sullivan
1,Sultan
1,Sumant
2,Sumeet
1,Su-Min
1,Sumray
1,Sundance
1,Sunil
1,Sunny
1,Sunpreet
2,Suraj
1,Surinder
1,Surkhaab
1,Surran
1,Surya
1,Sutheara
2,Sydney
1,Sydrek
2,Syed
1,Sylvain
1,Sylvan
1,Sylvin
1,Symen
1,Symon
1,Syrus
1,Taber
1,Tabneet
1,Tac
1,Taci
1,Tadan
1,Tadbir
1,Tadeusz
1,Tadhg
1,Taegan
1,Taggert
2,Tahir
6,Tai
1,Taiden
1,Tailor
1,Tairin
1,Tait
1,Taite
1,Taj
#,Boy  Names 
1,Takumi
2,Tal
1,Talaal
1,Talan
1,Talbert
1,Talen
1,Talis
1,Tallal
1,Talleiv
1,Tallen
1,Tallon
1,Talmage
9,Talon
1,Talyb
1,Talyn
1,Talyor
1,Tamaki
1,Tan
1,Tanis
1,Tanjot
73,Tanner
1,Tanner-James
1,Tannor
1,Tanush
1,Tanvir
1,Tao
1,Tao-Cecil
4,Taran
1,Tarandeep
1,Taranjot
1,Taras
1,Tarek
1,Tariik
1,Tarik
3,Tariq
1,Taron
1,Tarquin
1,Tarrence
1,Tarron
1,Tarryn
1,Tarun
1,Taryn
1,Tarynce
9,Tate
1,Taten
2,Tatum
1,Taven
1,Tavian
1,Tavin
1,Tavio
3,Tavis
2,Tavish
1,Taycen
2,Taye
#,Boy  Names 
1,Tayghen
1,Taylan
1,Taylen
9,Tayler
49,Taylor
1,Tayne
1,Taysen
2,Tayson
1,Tayte
1,Tayven
1,Tayvis
1,Tayvon
11,Teagan
1,Teagen
1,Teaken
3,Ted
1,Teddy
1,Tee
6,Teegan
1,Teeno
2,Tegan
1,Teghan
1,Teigue
1,Tej
2,Tejas
1,Tejbir
1,Tejkaran
1,Tell
1,Tenjin
1,Teodor
1,Teppei
1,Teran
1,Terek
1,Terence
2,Teron
1,Terral
1,Terran
3,Terrance
1,Terrek
4,Terrell
2,Terren
6,Terrence
1,Terren-Nicholas
1,Terrin
1,Terron
4,Terry
1,Teryn
1,Teshawn
1,Tethloach
1,Tex
1,Thaddaeus
1,Thai
1,Thanden
1,Thane
#,Boy  Names 
2,Thanh
1,Thanh-Nhan
1,Tharn
1,Tharren
2,Thatcher
1,Thelonious
2,Theo
10,Theodore
1,Theophanis
1,Theoren
2,Theoron
2,Theron
1,Theseus
1,Thien
116,Thomas
1,Thorn
1,Thorston
1,Thudor
1,Tian
1,Tical
1,Tie
1,Tiegan
1,Tiemen
1,Tien
1,Tieran
1,Tiernan
1,Tijs
1,Tilman
1,Timber
36,Timothy
1,Tion
2,Tiran
1,Titen
1,Titus
1,TJ
1,T-Jay
1,Tobiah
2,Tobias
1,Tod
5,Todd
1,Tolian
3,Tom
7,Tomas
1,Tomiko
1,Tommie
10,Tommy
1,Tomoki
1,Tomys
1,Tong
9,Tony
1,Torin
1,Torrin
1,Trac
2,Trace
#,Boy  Names 
1,Tracey
1,Trae
1,Traitan
1,Traven
32,Travis
1,Tray
1,Trayce
2,Trayden
1,Traydon
1,Trayl
1,Trayson
2,Trayton
1,Trayven
1,Tre
2,Tré
1,Trekk
1,Trémaine
1,Tremayne
12,Trent
1,Trenten
3,Trenton
1,Treston
1,Tréton
1,Treven
1,Trevez
1,Trevitt
16,Trevor
22,Trey
1,Treyelle
1,Treyne
1,Treyson
3,Treyton
1,Tri
1,Trien
1,Trindle
1,Trinity
1,Trinton
86,Tristan
15,Tristen
2,Tristian
12,Tristin
7,Triston
3,Tristyn
1,Trontay
10,Troy
1,Truhmane
5,Trystan
1,Trystan-James
2,Trysten
1,Trystyn
1,Tryton
1,Tryvell
8,Tucker
1,Tudor
#,Boy  Names 
1,Turin
1,Turique
3,Turner
2,Tut
47,Ty
6,Tye
1,Tye-José
1,Tyger
1,Tylan
1,Tylar
5,Tylen
208,Tyler
1,Tymen
1,Tymon
1,Tymone
1,Tymoore
3,Tynan
1,Tyral
1,Tyrece
5,Tyree
1,Tyreece
2,Tyreese
3,Tyrel
18,Tyrell
2,Tyren
7,Tyrese
1,Tyrique
2,Tyron
13,Tyrone
1,Tyrrell
4,Tyrus
4,Tysen
1,Tyshawn
1,Tyshon
73,Tyson
1,Tytus
1,Uday
1,Ulises
1,Ulrich
1,Usama
1,Usman
1,Vaikunth
1,Valerie
1,Van
1,Vance
1,Vanyel
1,Varon
1,Vaughan
1,Vaughn
1,Vayden
1,Veljko
1,Venjiemin
1,Verage
1,Vernon
#,Boy  Names 
1,Vianney
10,Victor
1,Victorio
1,Viet
1,Vikaash
1,Vinal
3,Vince
18,Vincent
1,Vincent -Marcel
1,Vincenz
3,Vincenzo
1,Vinidim
1,Vinit
1,Virak
1,Vital
1,Vlad
1,Vladan
1,Vladimir
1,Vladislav
1,Vu
10,Wade
1,Wahidur
1,Wajih
1,Walid
6,Walker
2,Wallace
1,Wally
1,Walter
6,Warren
1,Wase
1,Waseam
1,Wasif
1,Wayden
1,Waylen
2,Waylon
2,Wayne
1,Wazeer
1,Wendel
1,Wendell
1,Wesam
16,Wesley
1,Wesson
1,Westin
3,Weston
1,Weyman
1,Wheeler
1,Whyette
1,Wil
1,Wildon
1,Wiley
1,Wilhelm
1,Wilhen
3,Will
3,Willem
#,Boy  Names 
151,William
1,Willy
5,Wilson
1,Winner
2,Winston
1,Witter
1,Wolfgang
64,Wyatt
1,Wylee
1,Wyndham
5,Xander
18,Xavier
1,Xenon
1,Xsal
1,Xystus
1,Xzander
1,Yaad
3,Yahya
1,Yanik
1,Yannick
2,Yaseen
1,Yaser
1,Yash
1,Yashdip
2,Yasin
1,Youngel
1,Yousaff
3,Yousef
4,Youssef
1,Yousuf
1,Yuab
1,Yuan
2,Yuri
1,Yussef
1,Yusuf
1,Yusuke
2,Yuta
1,Yuusuf
1,Yuvraj
1,Zacary
1,Zacchaeus
1,Zachari
1,Zacharia
5,Zachariah
2,Zacharie
148,Zachary
1,Zacheray
1,Zacherie
20,Zachery
1,Zaciah
3,Zack
1,Zackariah
29,Zackary
1,Zackeriah
#,Boy  Names 
13,Zackery
1,Zafir
1,Zaide
1,Zaiden
2,Zain
2,Zak
2,Zakari
2,Zakaria
1,Zakariya
2,Zakary
1,Zakery
1,Zaki
1,Zakie
1,Zakkai
1,Zakris
3,Zander
1,Zanderj
11,Zane
1,Zanthos
1,Zanthus
1,Zarak
1,Zarek
1,Zark
1,Zarvan
1,Zayaad
1,Zayd
2,Zayden
1,Zayn
3,Zayne
1,Zayori
1,Zedd
1,Zeeshan
1,Zeke
1,Zelanno
2,Zenon
1,Zephaniah
1,Zephyrin
1,Zeshan
1,Zeth
1,Zicki
1,Zion
1,Ziv
1,Ziyad
1,Zohair
1,Zolin
1,Zoravar
1,Zoraver
1,Zubair
1,Zulfiqar
1,Zulkifl
1,Zury
1,Zyon
